trial,set_size,target_word,distract_words,image_path,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,press_to_go.keys,press_to_go.rt,press_to_go.started,press_to_go.stopped,targets.started,targets.stopped,just_press.keys,just_press.rt,just_press.started,just_press.stopped,participant,session,language,date,expName,psychopyVersion,frameRate,
0,16,['jokalari'],"apertura,espuma,sequía,asamblea,posada,padre,cocinero,jinete,ajedrez,cerveza,secretario,abuelo,cliente,estuche,guardián,trabajo",../figures/Basque_0.jpeg,0,0,0,0,11.623004600001877,None,space,1.1919453000009526,11.623004600001877,None,12.91466489999948,None,space,1.7160003000026336,12.91466489999948,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
1,16,['margolari'],"ajedrez,vendedor,viento,anuncio,experto,portero,ceniza,ubicación,serpiente,receptor,invitado,piedra,candidato,cerveza,fantasía,posesión",../figures/Basque_1.jpeg,0,1,1,1,14.675311700000748,None,space,0.30914879999909317,14.675311700000748,None,15.044333500001812,None,space,8.512811799999326,15.044333500001812,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
2,8,['oilar'],"sombra,árbol,curación,guardián,testigo,peregrino,profesor,partícula",../figures/Basque_2.jpeg,0,2,2,2,23.611777599999186,None,space,0.15153300000019954,23.611777599999186,None,23.853325100000802,None,space,2.4882615999995323,23.853325100000802,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
3,4,['zerrenda'],"lista,página,padre,ejercicio",../figures/Basque_3.jpeg,0,3,3,3,26.38307110000096,None,space,0.25634720000016387,26.38307110000096,None,26.742165899999236,None,space,2.051090799999656,26.742165899999236,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
4,32,['lantegi'],"enemigo,escritor,invitado,periodista,cocinero,profesor,estuche,recado,fantasía,portero,pintor,sequía,edición,criatura,caucho,cobijo,posesión,página,invierno,parcela,aprendiz,asesino,hermana,serpiente,enfermera,testigo,fumador,fibra,arroyo,receptor,mensajero,candidato",../figures/Basque_4.jpeg,0,4,4,4,28.831995900000038,None,space,0.18121350000001257,28.831995900000038,None,29.120523599998705,None,space,4.310398300000088,29.120523599998705,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
5,16,['zorion'],"mujer,abuelo,ahorro,anillo,invitado,zumbido,lista,ceniza,jugador,censo,pesimista,fantasía,recurso,candidato,sombra,enemigo",../figures/Basque_5.jpeg,0,5,5,5,33.48648630000025,None,space,0.1511610000015935,33.48648630000025,None,33.72243800000069,None,space,3.0543764000030933,33.72243800000069,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
6,4,['sendatze'],"vencedor,recado,testigo,estuche",../figures/Basque_6.jpeg,0,6,6,6,36.833050500001264,None,space,0.14138480000110576,36.833050500001264,None,37.0535415000013,None,space,2.3322932999981276,37.0535415000013,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
7,4,['edukitze'],"bruja,vanidad,receptor,cerdo",../figures/Basque_7.jpeg,0,7,7,7,39.419863899998745,None,space,0.15058809999754885,39.419863899998745,None,39.6585473999985,None,space,3.6591860000007728,39.6585473999985,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
8,32,['lilura'],"triunfo,estuche,robo,cordero,posesión,taller,portero,cabrón,secretario,nube,fibra,adivina,parcela,bruja,guante,firma,receptor,anuncio,juzgado,fumador,fascinación,corredor,muchacho,arroyo,cerdo,yegua,roble,censo,espuma,abuelo,inventor,gigante",../figures/Basque_8.jpeg,0,8,8,8,43.35397540000122,None,space,0.21929509999972652,43.35397540000122,None,43.64676959999997,None,space,10.242118699999992,43.64676959999997,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
9,8,['epaitegi'],"jugador,concha,gallo,hermana,trabajo,asamblea,poeta,posesión",../figures/Basque_9.jpeg,0,9,9,9,53.934726300001785,None,space,0.39208879999932833,53.934726300001785,None,54.40543020000041,None,space,5.558417399999598,54.40543020000041,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
10,4,['eskularru'],"jinete,concha,ahorro,idiota",../figures/Basque_10.jpeg,0,10,10,10,60.0073908000013,None,space,0.21003270000073826,60.0073908000013,None,60.28463959999863,None,space,2.0148971999988134,60.28463959999863,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
11,8,['garagardo'],"invierno,jinete,guante,usuario,viento,muchacho,trabajo,cerveza",../figures/Basque_11.jpeg,0,11,11,11,62.353548899998714,None,space,0.19839899999715271,62.353548899998714,None,62.60240490000069,None,space,2.372132500000589,62.60240490000069,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
12,8,['kazetari'],"cobijo,curación,concha,cerdo,emisor,profesor,taller,caucho",../figures/Basque_12.jpeg,0,12,12,12,65.02216709999993,None,space,0.33058230000096955,65.02216709999993,None,65.43013900000005,None,space,3.541464600002655,65.43013900000005,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
13,16,['eraztun'],"guante,taller,obispo,robo,carretera,zumbido,fantasía,cobijo,caucho,cerdo,espuma,engaño,aprendiz,corredor,partícula,época",../figures/Basque_13.jpeg,0,13,13,13,69.0257348999985,None,space,0.17169210000065505,69.0257348999985,None,69.26728619999994,None,space,5.799046000000089,69.26728619999994,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
14,16,['gonbidatu'],"vanidad,confesor,testigo,arroyo,adivina,periodista,apertura,corredor,rival,secretario,idiota,curación,parcela,piedra,viento,portero",../figures/Basque_14.jpeg,0,14,14,14,75.10610169999927,None,space,0.43914849999782746,75.10610169999927,None,75.61421920000066,None,space,3.1062128999983543,75.61421920000066,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
15,32,['behor'],"enfermera,enemigo,cabrón,posesión,reglamento,periodista,censo,edición,arroyo,pesimista,profesor,caucho,cinturón,vanidad,firma,jugador,cliente,delegado,recado,robo,yegua,abuelo,padre,moneda,gallo,mariposa,ladrón,obispo,cortina,invención,dicha,sombra",../figures/Basque_15.jpeg,0,15,15,15,78.77781719999984,None,space,0.33980199999859906,78.77781719999984,None,79.18974929999968,None,space,6.229650000001129,79.18974929999968,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
16,16,['aterpe'],"periodista,hermana,anuncio,profesor,olfato,escritor,fumador,confesor,recado,moneda,árbol,juguete,guardián,comisión,caucho,contexto",../figures/Basque_16.jpeg,0,16,16,16,85.48008459999983,None,space,0.16310230000090087,85.48008459999983,None,85.7342310999993,None,space,1.0482025000019348,85.7342310999993,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
17,32,['burrunba'],"reglamento,experto,mariposa,gigante,dicha,ejercicio,pesimista,cobijo,comisión,asesino,cliente,fantasía,cortina,logro,ceniza,olfato,autor,restaurante,invitado,contexto,criatura,olor,caracol,cocinero,vanidad,anillo,padre,posesión,accidente,recado,cordero,hermana",../figures/Basque_17.jpeg,0,17,17,17,86.82653539999956,None,space,0.2209599999987404,86.82653539999956,None,87.12577669999882,None,space,2.711082900001202,87.12577669999882,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
18,8,['haize'],"árbol,cordero,enfermera,asesino,logro,arroyo,fascinación,mariposa",../figures/Basque_18.jpeg,0,18,18,18,89.88119000000006,None,space,0.16838750000169966,89.88119000000006,None,90.1444756000019,None,space,0.9115782000008039,90.1444756000019,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
19,4,['harrokeria'],"emisor,triunfo,cabrón,censo",../figures/Basque_19.jpeg,0,19,19,19,91.09588290000102,None,space,0.22000829999888083,91.09588290000102,None,91.38693150000108,None,space,1.8696301999989373,91.38693150000108,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
20,16,['lursail'],"palacio,profesor,guardián,caracol,recado,vanidad,escritor,robo,anillo,página,jinete,logro,portero,zumbido,vencedor,accidente",../figures/Basque_20.jpeg,0,20,20,20,93.30645849999928,None,space,0.1097007999997004,93.30645849999928,None,93.49382329999935,None,space,1.6575430000011693,93.49382329999935,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
21,4,['txerri'],"anillo,lector,corredor,bruja",../figures/Basque_21.jpeg,0,21,21,21,95.19670469999983,None,space,0.13986709999880986,95.19670469999983,None,95.40577370000028,None,space,1.7175973000012164,95.40577370000028,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
22,8,['arkume'],"portero,bruja,dicha,curación,poeta,moneda,época,viento",../figures/Basque_22.jpeg,0,22,22,22,97.16322239999863,None,space,0.1345078000013018,97.16322239999863,None,97.36818810000113,None,space,2.403250499999558,97.36818810000113,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
23,32,['arrain'],"fascinación,taller,muchacho,sombra,bruja,invierno,juzgado,serpiente,portero,triunfo,lector,ejercicio,enfermera,página,receptor,robo,pintor,época,restaurante,viento,pescado,ajedrez,caucho,carretera,hermana,edición,guante,logro,cinturón,anuncio,mujer,guardián",../figures/Basque_23.jpeg,0,23,23,23,99.80515089999972,None,space,0.18003329999919515,99.80515089999972,None,100.06803570000193,None,space,11.810888199997862,100.06803570000193,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
24,16,['saltzaile'],"palacio,roble,pesimista,corredor,lista,juguete,taller,cabrón,anillo,abuelo,enfermera,portero,yegua,apertura,inventor,sequía",../figures/Basque_24.jpeg,0,24,24,24,111.91776670000036,None,space,0.3021874999976717,111.91776670000036,None,112.30367359999946,None,space,2.4324119000011706,112.30367359999946,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
25,16,['zorion'],"firma,logro,caracol,muchacho,pintor,jinete,fascinación,invierno,cordero,peregrino,idiota,periodista,pesimista,dicha,posada,página",../figures/Basque_25.jpeg,0,25,25,25,114.78499459999875,None,space,0.23133990000133053,114.78499459999875,None,115.11790259999907,None,space,7.043729199998779,115.11790259999907,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
26,8,['txerri'],"receptor,página,engaño,concha,carretera,ubicación,cerdo,asesino",../figures/Basque_26.jpeg,0,26,26,26,122.20973210000011,None,space,0.1738982999995642,122.20973210000011,None,122.44548500000019,None,space,1.1526406000011775,122.44548500000019,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
27,8,['lapurreta'],"roble,enemigo,secretario,autor,olor,candidato,caucho,guardián",../figures/Basque_27.jpeg,0,27,27,27,123.64145519999875,None,space,0.10986609999963548,123.64145519999875,None,123.8334778999997,None,space,6.879274599999917,123.8334778999997,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
28,8,['aita'],"viento,anuncio,presidente,concha,nube,gigante,contexto,confesor",../figures/Basque_28.jpeg,0,28,28,28,130.75799259999985,None,space,0.20275699999911012,130.75799259999985,None,131.05760240000018,None,space,3.1666989000004833,131.05760240000018,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
29,16,['iruzur'],"peregrino,vencedor,apertura,jinete,palacio,mariposa,gallo,nube,contexto,guante,testigo,ceniza,ahorro,roble,concha,juguete",../figures/Basque_29.jpeg,0,29,29,29,134.25905440000133,None,space,0.14402049999989686,134.25905440000133,None,134.47747040000104,None,space,4.6804531999987375,134.47747040000104,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
30,16,['hodei'],"caucho,comisión,emisor,triunfo,restaurante,secretario,invención,caracol,ahorro,cortina,parcela,concha,ubicación,juzgado,gigante,fantasía",../figures/Basque_30.jpeg,0,30,30,30,139.208869099999,None,space,0.18624999999883585,139.208869099999,None,139.4890094000002,None,space,2.4376913999985845,139.4890094000002,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
31,4,['zaindari'],"conductor,usuario,curación,invención",../figures/Basque_31.jpeg,0,31,31,31,141.9608651999988,None,space,0.5128813000010268,141.9608651999988,None,142.56842049999977,None,space,1.5678693000008934,142.56842049999977,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
32,16,['txerri'],"cortina,padre,nube,invitado,mariposa,contexto,guardián,fascinación,cabrón,ceniza,concha,moneda,presidente,cerveza,portador,invierno",../figures/Basque_32.jpeg,0,32,32,32,144.18076289999954,None,space,0.14165850000063074,144.18076289999954,None,144.39163140000164,None,space,3.527359100000467,144.39163140000164,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
33,4,['kutxatila'],"robo,restaurante,autor,escritor",../figures/Basque_33.jpeg,0,33,33,33,147.95205569999962,None,space,0.18292420000216225,147.95205569999962,None,148.21744190000027,None,space,2.356348599998455,148.21744190000027,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
34,8,['koadrila'],"cobijo,sombra,arroyo,idiota,ejercicio,caucho,comisión,trabajo",../figures/Basque_34.jpeg,0,34,34,34,150.6171742000006,None,space,0.10842799999954877,150.6171742000006,None,150.80150140000114,None,space,1.862349400002131,150.80150140000114,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
35,32,['zaindari'],"cliente,cordero,cocinero,pintor,lector,restaurante,pescado,receptor,palacio,vencedor,jinete,cortina,fantasía,estuche,taller,delegado,arroyo,asesino,poeta,cerveza,moneda,jugador,gallo,usuario,invierno,idiota,comisión,árbol,posada,yegua,accidente,vendedor",../figures/Basque_35.jpeg,0,35,35,35,152.69727129999956,None,space,0.10587630000009085,152.69727129999956,None,152.89643280000018,None,space,3.662753000000521,152.89643280000018,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
36,4,['zerrenda'],"engaño,delegado,dicha,ahorro",../figures/Basque_36.jpeg,0,36,36,36,156.58864220000032,None,space,0.17551049999747192,156.58864220000032,None,156.85017340000195,None,space,1.2462105000013253,156.85017340000195,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
37,16,['kutxatila'],"muchacho,yegua,mujer,concha,época,comisión,logro,espuma,inventor,parcela,ahorro,arroyo,criatura,robo,asamblea,vendedor",../figures/Basque_37.jpeg,0,37,37,37,158.1380289000008,None,space,0.21006459999989602,158.1380289000008,None,158.43292569999903,None,space,3.839758599999186,158.43292569999903,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
38,8,['errepide'],"portador,inventor,logro,anuncio,fibra,regla,guante,fascinación",../figures/Basque_38.jpeg,0,38,38,38,162.32336769999893,None,space,0.13658030000078725,162.32336769999893,None,162.53495530000146,None,space,6.104088500000216,162.53495530000146,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
39,4,['arreba'],"regla,emisor,asesino,portero",../figures/Basque_39.jpeg,0,39,39,39,168.67345800000112,None,space,1.362579900000128,168.67345800000112,None,170.10547829999996,None,space,0.14280120000330498,170.10547829999996,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
40,8,['aurrezki'],"inventor,recurso,caucho,corredor,regla,escritor,ejercicio,vanidad",../figures/Basque_40.jpeg,0,40,40,40,170.305477599999,None,space,1.490727100001095,170.305477599999,None,171.8874872000015,None,space,2.1191037999997206,171.8874872000015,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
41,32,['jostailu'],"juguete,hermana,carretera,anuncio,fibra,olor,fantasía,mariposa,firma,confesor,censo,pesimista,trabajo,peregrino,profesor,testigo,lista,comisión,escritor,emisor,mujer,robo,estuche,enfermera,cerveza,presidente,invención,cabrón,vendedor,partícula,yegua,cordero",../figures/Basque_41.jpeg,0,41,41,41,174.05663560000175,None,space,0.2022767999987991,174.05663560000175,None,174.35530199999994,None,space,8.594357400001172,174.35530199999994,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
42,8,['lan'],"sombra,peregrino,zumbido,edición,regla,secretario,ahorro,gallo",../figures/Basque_42.jpeg,0,42,42,42,182.98815150000155,None,space,0.18629499999951804,182.98815150000155,None,183.2556896999995,None,space,1.43660440000167,183.2556896999995,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
43,32,['erromes'],"experto,firma,restaurante,cinturón,cerveza,vencedor,secretario,reglamento,árbol,comisión,conductor,lista,rival,enfermera,yegua,página,abuelo,fibra,presidente,estuche,poeta,invención,robo,apertura,sombra,enemigo,juzgado,trabajo,moneda,ajedrez,logro,olor",../figures/Basque_43.jpeg,0,43,43,43,184.73271060000116,None,space,0.1959196999996493,184.73271060000116,None,185.00172740000198,None,space,1.7004600999971444,185.00172740000198,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
44,16,['mandatu'],"inventor,ajedrez,piedra,invención,recado,enfermera,abuelo,serpiente,robo,recurso,padre,emisor,carretera,pintor,gigante,cerdo",../figures/Basque_44.jpeg,0,44,44,44,186.75838250000015,None,space,0.12453779999850667,186.75838250000015,None,186.97637530000065,None,space,5.431861500001105,186.97637530000065,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
45,4,['lilura'],"portador,portero,apertura,palacio",../figures/Basque_45.jpeg,0,45,45,45,192.46279940000022,None,space,0.17398880000109784,192.46279940000022,None,192.70007850000184,None,space,2.094151499997679,192.70007850000184,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
46,16,['margolari'],"portero,adivina,muchacho,receptor,aprendiz,criatura,piedra,secretario,engaño,fibra,enfermera,sequía,asesino,robo,gigante,gallo",../figures/Basque_46.jpeg,0,46,46,46,194.84331590000147,None,space,0.460196600000927,194.84331590000147,None,195.3631776000002,None,space,6.858014000001276,195.3631776000002,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
47,32,['kutxatila'],"trabajo,dicha,engaño,yegua,curación,fibra,palacio,bruja,obispo,portador,parcela,piedra,vencedor,cerdo,invitado,cocinero,cortina,inventor,zumbido,confesor,ahorro,ceniza,anuncio,enemigo,rival,portero,aprendiz,censo,estuche,árbol,escritor,concha",../figures/Basque_47.jpeg,0,47,47,47,202.25158949999968,None,space,0.20859070000005886,202.25158949999968,None,202.55221670000174,None,space,10.367214100002457,202.55221670000174,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
48,32,['batzorde'],"comisión,padre,hermana,portador,arroyo,curación,engaño,vanidad,contexto,gigante,guardián,lista,anillo,época,poeta,estuche,pandilla,moneda,invierno,cerdo,olor,yegua,edición,periodista,cordero,receptor,gallo,robo,posada,cerveza,ejercicio,sombra",../figures/Basque_48.jpeg,0,48,48,48,212.9516130000011,None,space,0.1462567000016861,212.9516130000011,None,213.16932530000122,None,space,3.5475633999994898,213.16932530000122,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
49,4,['zerrenda'],"experto,trabajo,curación,contexto",../figures/Basque_49.jpeg,0,49,49,49,216.7676947,None,space,0.9165173000001232,216.7676947,None,217.75066900000093,None,space,7.89842789999966,217.75066900000093,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
50,16,['arreba'],"jugador,nube,recado,asamblea,cerdo,vencedor,guardián,mujer,taller,padre,partícula,cinturón,serpiente,fantasía,vendedor,escritor",../figures/Basque_50.jpeg,0,50,50,50,225.68567249999978,None,space,0.34951580000051763,225.68567249999978,None,226.1195680000019,None,space,5.289048099999491,226.1195680000019,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
51,4,['lapur'],"edición,testigo,invierno,fumador",../figures/Basque_51.jpeg,0,51,51,51,231.45731230000092,None,space,0.12934820000009495,231.45731230000092,None,231.6722781999997,None,space,0.8469894000008935,231.6722781999997,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
52,4,['irakasle'],"caucho,enemigo,secretario,concha",../figures/Basque_52.jpeg,0,52,52,52,232.57488029999877,None,space,0.12115519999861135,232.57488029999877,None,232.7893922000003,None,space,0.7370150999995531,232.7893922000003,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
53,16,['erabiltzaile'],"enfermera,apertura,bruja,inventor,zumbido,cobijo,reglamento,edición,vencedor,cerveza,robo,yegua,taller,peregrino,concha,palacio",../figures/Basque_53.jpeg,0,53,53,53,233.57149479999862,None,space,0.44421890000012354,233.57149479999862,None,234.10324499999842,None,space,2.5266405000002123,234.10324499999842,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
54,32,['erretzaile'],"concha,firma,sequía,comisión,testigo,parcela,juguete,pescado,receptor,peregrino,autor,mujer,hermana,regla,candidato,nube,asesino,mariposa,espuma,idiota,obispo,contexto,pesimista,presidente,triunfo,ceniza,cinturón,inventor,recado,trabajo,escritor,corredor",../figures/Basque_54.jpeg,0,54,54,54,236.66241609999997,None,space,0.2944333999985247,236.66241609999997,None,237.047218300002,None,space,3.4899170999997295,237.047218300002,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
55,32,['tximeleta'],"receptor,mariposa,asesino,robo,trabajo,pesimista,carretera,viento,reglamento,lector,olfato,jinete,invención,posesión,pandilla,jugador,sombra,arroyo,dicha,nube,guante,testigo,profesor,guardián,moneda,padre,enemigo,vanidad,ajedrez,fibra,vendedor,cabrón",../figures/Basque_55.jpeg,0,55,55,55,240.5907890999988,None,space,0.1981089000000793,240.5907890999988,None,240.8597617000014,None,space,4.192380799999228,240.8597617000014,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
56,8,['lehendakari'],"yegua,cobijo,invierno,candidato,presidente,posesión,gallo,recurso",../figures/Basque_56.jpeg,0,56,56,56,245.10433270000067,None,space,0.13811669999995502,245.10433270000067,None,245.31166179999855,None,space,3.480566900001577,245.31166179999855,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
57,8,['aditu'],"bruja,nube,idiota,olor,regla,robo,fumador,parcela",../figures/Basque_57.jpeg,0,57,57,57,248.8464113000009,None,space,0.12372120000145514,248.8464113000009,None,249.06255429999874,None,space,2.2190492000008817,249.06255429999874,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
58,4,['orrialde'],"conductor,sequía,adivina,palacio",../figures/Basque_58.jpeg,0,58,58,58,251.31684080000196,None,space,0.1245612999991863,251.31684080000196,None,251.52674330000082,None,space,1.4598097999987658,251.52674330000082,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
59,8,['sendatze'],"cortina,pintor,muchacho,viento,página,ladrón,dicha,inventor",../figures/Basque_59.jpeg,0,59,59,59,253.03143600000112,None,space,0.5332658999977866,253.03143600000112,None,253.63681120000183,None,space,3.7698101999994833,253.63681120000183,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
